2,1488,-128,4998,,
starting,,,,,
271255,-15376,1304,-904,5428,
271264,-15280,1240,-1068,5409,
271272,-15192,1260,-1292,5432,
271282,-15260,1244,-1516,5431,
271291,-15384,1132,-1368,5401,
271300,-15540,964,-1084,5424,
271308,-15780,908,-960,5403,
271318,-16168,932,-888,5425,
271327,-16340,860,-1008,5418,
271335,-16368,876,-732,5400,
271344,-16232,880,-720,5448,
271353,-15988,1004,-552,5415,
271363,-16100,952,-348,5445,
271371,-16080,932,-164,5396,
271380,-16232,1060,-152,5389,
271389,-16452,1008,-164,5416,
271397,-16296,1072,-368,5414,
271407,-16368,1320,-492,5390,
271416,-16244,1252,-452,5382,
271424,-16256,1184,-664,5389,
271433,-16216,916,-688,5412,
271442,-16192,908,-792,5384,
271451,-16204,868,-768,5385,
271460,-16368,864,-720,5409,
271469,-16500,896,-852,5403,
271477,-16400,804,-744,5406,
271486,-16552,908,-788,5406,
271496,-16436,976,-800,5402,
271504,-16348,1048,-960,5405,
271513,-16324,1220,-904,5430,
271522,-16204,1236,-776,5375,
271531,-16228,1120,-580,5381,
271540,-16220,1104,-768,5379,
271549,-16128,1176,-836,5374,
271557,-16176,1104,-852,5429,
271566,-16204,1152,-960,5380,
271576,-16200,1248,-980,5373,
271584,-16064,1104,-840,5379,
271593,-16044,1056,-920,5379,
271602,-15884,952,-868,5374,
271610,-15824,928,-644,5381,
271620,-15932,916,-756,5402,
271629,-15952,1000,-948,5372,
271637,-16112,1020,-996,5378,
271646,-16000,1192,-812,5378,
271655,-16056,1148,-848,5372,
271665,-16260,1072,-824,5425,
271673,-16232,1040,-640,5401,
271682,-16272,968,-532,5373,
271691,-16160,900,-556,5378,
271699,-16064,996,-724,5376,
271709,-16048,1108,-820,5370,
271718,-15936,1052,-916,5401,
271726,-15944,1004,-948,5400,
271735,-15896,1032,-872,5370,
271745,-15904,988,-852,5377,
271753,-15772,936,-1000,5376,
271762,-15996,1028,-1020,5418,
271771,-15952,1140,-996,5369,
271779,-15880,1044,-1288,5397,
271789,-15992,1140,-1192,5374,
271798,-16100,1024,-1220,5368,
271807,-16360,968,-1100,5372,
271815,-16320,1092,-1180,5396,
271824,-16364,956,-1072,5394,
271834,-16460,820,-1064,5389,
271842,-16532,692,-1044,5394,
271851,-16488,704,-1244,5394,
271860,-16416,768,-1104,5388,
271868,-16608,752,-1128,5371,
271878,-16476,848,-992,5394,
33816,4560,-13260,380,4504,
271887,-16436,1024,-1204,5367,
33823,3420,-12028,0,4513,
271895,-16332,912,-1064,5396,
33831,6120,-9688,-3468,4440,
271904,-16480,900,-1064,5394,
271913,-16300,844,-1088,5391,
33847,4768,-9924,-6508,4502,
271923,-16164,836,-1436,5396,
33855,6356,-11904,-7336,4476,
271931,-15964,828,-1340,5423,
33863,5236,-14988,-5428,4490,
33868,4096,-15552,-4160,1584,
271940,-15972,964,-1352,5423,
33873,4356,-15700,-3256,1580,
33879,4624,-15420,-2652,1552,
271949,-15876,896,-1240,5392,
33884,5600,-14804,-2364,1526,
271958,-15816,920,-1244,5376,
33889,5660,-14104,-2128,1523,
33895,5156,-14012,-2084,1578,
271967,-15804,1000,-1204,5375,
33900,4756,-14780,-2132,1594,
33905,4672,-15316,-2208,1620,
271976,-15752,1040,-964,5369,
33910,4492,-15720,-2380,1668,
271985,-15692,1192,-940,5375,
33915,4432,-16120,-2584,1589,
33921,5200,-16472,-2876,1584,
271993,-15620,1140,-1000,5376,
33926,5252,-17092,-3352,1604,
33931,5336,-17776,-3404,1627,
272003,-15688,1216,-1184,5372,
33936,5172,-19204,-3072,1651,
33941,5240,-20232,-2296,1624,
272012,-15656,1148,-1128,5393,
33946,5184,-20972,-1996,1645,
272020,-15752,1208,-1396,5400,
272029,-15796,1180,-1240,5400,
272038,-16056,1216,-1284,5419,
272048,-15988,1056,-1412,5370,
272056,-16260,1004,-1112,5376,
272065,-16420,1044,-1084,5396,
272074,-16676,1168,-1144,5370,
272083,-16772,1348,-896,5375,
272092,-17016,1392,-1228,5375,
272101,-17112,1632,-1320,5376,
272110,-17080,1580,-1316,5370,
272118,-17184,1436,-1420,5400,
272128,-17184,1192,-1088,5401,
272137,-17332,912,-980,5429,
272146,-17636,824,-980,5380,
272154,-17516,928,-644,5386,
34085,3964,-18056,-800,134558,
272163,-17636,1124,-424,5388,
272173,-17536,1596,-620,5385,
272181,-17476,1616,-400,5396,
272190,-17372,1528,-488,5399,
272199,-17272,1428,-448,5420,
272207,-17272,1160,-508,5408,
272217,-17000,972,-500,5414,
272226,-16680,884,-560,5461,
272235,-16704,952,-624,5424,
272243,-16556,924,-548,5430,
272252,-16488,1080,-656,5452,
272262,-16336,1032,-696,5411,
272270,-16192,1028,-868,5446,
272279,-16052,736,-676,5454,
272288,-15852,712,-712,5478,
34226,4208,-15564,1740,134579,
272297,-15716,676,-800,5463,
272306,-15532,676,-748,5472,
272315,-15336,744,-612,5477,
272324,-15244,728,-676,5477,
272333,-15300,608,-828,5512,
272342,-15328,660,-888,5541,
272351,-15244,620,-924,5522,
272360,-15056,616,-900,5547,
272369,-15092,680,-980,5504,
272377,-15192,444,-1052,5508,
272387,-15252,484,-1016,5562,
272396,-15256,548,-796,5540,
272405,-15340,600,-764,5490,
272414,-15264,708,-800,5520,
272422,-15280,608,-684,5524,
272432,-15528,764,-692,5550,
34365,2412,-15264,3148,134557,
272441,-15608,852,-724,5574,
272450,-15700,860,-724,5525,
272459,-16060,776,-568,5554,
272467,-16056,892,-624,5535,
272477,-16180,964,-676,5560,
272486,-16396,980,-740,5534,
272495,-16420,1000,-772,5534,
272504,-16380,1140,-868,5560,
272514,-16416,1148,-604,5567,
272522,-16592,1324,-760,5570,
272531,-16480,1288,-464,5549,
272540,-16592,1192,-300,5550,
272549,-16504,1180,-88,5549,
272559,-16640,1040,-88,5553,
272568,-16756,932,56,5561,
34504,3816,-14604,5492,134564,
272576,-16828,940,44,5601,
272585,-16944,1096,0,5581,
272594,-17052,1296,-44,5580,
272607,-17264,1736,-316,5632,
272616,-17356,1780,-208,5602,
272625,-17208,1588,-376,5628,
272634,-17228,1644,-308,5584,
272644,-17032,1476,-336,5587,
272653,-16888,1344,-276,5644,
272662,-16860,1424,-572,5599,
272671,-17056,1316,-468,5605,
272680,-17212,1324,-392,5643,
272690,-16976,1576,-508,5649,
272698,-16724,1664,-532,5656,
272707,-16512,1636,-552,5687,
34642,3648,-18004,8292,134558,
34648,3404,-17844,8204,1531,
272716,-16456,1568,-292,5671,
34653,3280,-17920,8364,1329,
272726,-16452,1500,-268,5679,
34662,3860,-17416,8520,1338,
34667,3708,-16920,8688,1362,
272737,-16360,1324,-132,5690,
34672,3880,-16680,8516,1357,
34677,3980,-15776,8704,2001,
272746,-16332,1252,-240,5666,
34682,4020,-15036,8772,1903,
34689,3936,-14560,8488,2126,
272757,-16356,1208,-188,5729,
34694,3932,-13960,8612,2104,
272769,-16428,1064,-356,5744,
34702,3524,-13148,8552,4462,
272778,-16344,1176,-608,5721,
272787,-16320,1248,-652,5706,
272796,-16420,1116,-812,5759,
272805,-16296,1016,-644,5740,
272815,-15720,964,-272,5726,
272824,-15460,800,-288,5757,
272833,-15188,760,-120,5765,
272842,-14776,644,-76,5750,
272851,-14684,600,-124,5764,
272861,-14568,484,-208,5762,
272870,-14596,612,-144,5769,
272879,-14720,644,48,5799,
272888,-14920,632,108,5822,
272898,-15064,540,200,5842,
272907,-15104,664,-8,5824,
34841,4432,-8340,9748,134575,
272916,-15028,792,-92,5830,
34848,4104,-8612,10204,4507,
34856,3532,-9544,11140,4380,
272925,-15092,732,-352,5882,
34865,3280,-10532,12004,4398,
272936,-14984,804,-500,5912,
34873,3108,-11104,12452,4399,
272946,-14988,396,-560,5884,
34880,2464,-11680,12844,4403,
272955,-15248,100,-252,5838,
272964,-15408,156,-512,5840,
34905,2960,-9920,13148,4472,
272973,-15676,188,-780,5843,
272983,-15800,76,-716,5870,
272992,-16068,108,-976,5864,
273002,-16036,348,-908,5858,
273011,-16012,460,-800,5853,
273020,-15836,560,-608,5857,
273030,-15720,520,-560,5857,
273039,-15596,560,-604,5887,
273048,-15384,588,-820,5865,
273057,-15440,432,-792,5913,
273067,-15428,496,-820,5865,
273077,-15556,520,-964,5898,
273086,-15588,604,-876,5919,
273095,-15588,772,-628,5871,
273104,-15540,888,-704,5876,
35043,2748,-12704,16120,134566,
273114,-15688,928,-672,5947,
35051,2968,-12412,15216,4471,
273123,-15784,936,-524,5877,
35056,3200,-12216,14816,1497,
35061,3740,-11796,14116,1497,
273132,-15952,836,-720,5900,
35066,4336,-11520,13848,1617,
273142,-16192,832,-792,5884,
35075,3996,-11724,13732,4479,
35083,3700,-11932,13600,4630,
273152,-16412,704,-756,5900,
35091,3608,-12260,13240,4660,
273161,-16540,784,-620,5901,
35099,2776,-12160,12676,4714,
273170,-16488,712,-716,5884,
35107,3484,-12020,12268,4618,
273179,-16528,748,-624,5882,
35116,3676,-11608,11744,4621,
273188,-16384,724,-696,5909,
35124,3956,-11720,11368,4600,
273198,-16312,480,-572,5885,
35132,3660,-11708,10960,4628,
273208,-16364,440,-748,5939,
273217,-16152,380,-672,5908,
273226,-16192,384,-632,5866,
273235,-16064,588,-512,5916,
273245,-15928,736,-580,5967,
273254,-15776,716,-336,5919,
273264,-15832,880,-256,5948,
273273,-15932,916,-296,5894,
273283,-16000,700,-92,5895,
273292,-16008,668,148,5928,
273301,-15872,508,232,5905,
273310,-15884,364,364,5880,
273319,-15796,204,332,5930,
273330,-16068,4,252,5888,
35271,3344,-13460,10116,134546,
273339,-16360,84,-140,5946,
35279,3164,-13360,10364,4703,
273349,-16356,-16,-260,5938,
35284,3284,-13396,10608,1745,
35290,3268,-13552,10740,1796,
