starting
499364,-963,-100,-69,628
499377,-980,-102,-76,632
499384,-993,-110,-72,619
499391,-995,-104,-66,624
499398,-1014,-112,-76,619
499405,-1013,-102,-74,623
499412,-1018,-99,-80,623
499420,-1024,-98,-77,627
499427,-1018,-95,-79,628
499434,-1015,-95,-77,624
499440,-1012,-104,-72,620
499447,-1007,-105,-77,620
499454,-988,-105,-73,620
499462,-975,-105,-81,623
499469,-954,-89,-73,623
499476,-948,-93,-71,567
499482,-957,-86,-76,550
499489,-960,-97,-66,562
499495,-980,-97,-73,541
499503,-989,-106,-74,623
499510,-1008,-103,-75,619
499517,-1015,-103,-82,622
499524,-1019,-102,-73,624
499531,-1010,-99,-78,619
499538,-983,-97,-75,623
499545,-969,-110,-74,621
499552,-965,-103,-69,619
499559,-973,-105,-84,551
499565,-980,-107,-74,562
499572,-1001,-104,-77,618
499579,-1001,-108,-75,623
499587,-990,-94,-80,626
499594,-997,-96,-71,624
499601,-1005,-97,-74,623
499608,-1018,-102,-77,619
499615,-1033,-112,-81,619
499622,-1030,-115,-78,623
499630,-1016,-110,-81,624
499637,-1002,-116,-80,623
499644,-984,-105,-64,623
499650,-970,-102,-70,619
499657,-976,-103,-71,512
499663,-977,-98,-67,588
499671,-981,-102,-65,624
499677,-990,-103,-59,498
499684,-999,-108,-70,601
499691,-1004,-109,-72,623
499698,-1011,-105,-78,623
499705,-1005,-110,-66,624
499713,-982,-105,-72,623
499719,-981,-98,-70,510
499726,-965,-104,-70,600
499732,-954,-101,-70,523
499739,-962,-99,-66,615
499746,-968,-101,-63,625
499753,-965,-107,-73,624
499761,-983,-105,-76,624
499768,-970,-111,-67,628
499775,-977,-101,-74,629
499782,-983,-104,-77,625
499789,-976,-106,-75,624
499795,-973,-101,-74,629
499803,-967,-100,-71,625
499810,-953,-100,-74,624
499817,-951,-92,-65,628
499824,-961,-93,-73,625
499831,-979,-100,-68,621
499838,-994,-110,-77,628
499846,-992,-108,-74,629
499853,-977,-102,-74,624
499860,-964,-103,-65,624
499866,-960,-112,-69,624
499873,-975,-105,-70,624
499880,-990,-110,-73,623
499888,-1010,-111,-71,623
499895,-1021,-104,-77,631
499902,-1030,-105,-75,627
499909,-1029,-102,-70,631
499916,-1037,-103,-76,627
499923,-1046,-113,-86,631
499931,-1048,-105,-80,623
499938,-1026,-112,-86,627
499945,-994,-110,-77,626
499952,-957,-104,-66,627
499959,-945,-99,-65,627
499966,-943,-96,-65,625
499974,-961,-104,-68,625
499980,-978,-104,-79,628
499987,-986,-106,-75,628
499994,-990,-100,-75,627
500001,-994,-109,-77,627
500008,-994,-108,-73,627
500016,-1007,-104,-76,627
500023,-1000,-105,-77,627
500030,-1005,-100,-75,627
500037,-1000,-108,-81,631
500044,-984,-103,-76,623
500051,-978,-101,-58,627
500059,-974,-97,-73,627
500066,-986,-104,-65,629
500073,-981,-103,-75,628
500080,-989,-112,-68,632
500087,-979,-104,-76,628
500093,-983,-101,-62,628
500101,-993,-102,-68,628
500108,-1001,-103,-77,627
500115,-1004,-106,-75,627
500122,-1000,-103,-75,627
500129,-989,-98,-72,631
500136,-972,-99,-70,633
500144,-968,-97,-73,629
500151,-981,-96,-69,628
500158,-992,-103,-73,629
500165,-1017,-101,-80,628
500172,-1041,-116,-86,624
500179,-1062,-117,-82,624
500187,-1036,-109,-71,629
500194,-1005,-109,-76,624
500201,-982,-94,-72,625
500208,-943,-91,-71,630
500214,-881,-77,-56,627
500221,-828,-46,-49,622
500229,-765,-17,-20,625
500236,-558,-138,38,626
500243,-403,-39,57,629
500250,-386,-18,-42,625
500257,-385,-2,0,629
500263,-420,-29,-29,620
500271,-451,-30,-36,621
500278,-468,-19,-21,619
500284,-498,-37,-35,506
500291,-543,-54,-32,605
500298,-575,-64,-35,613
500304,-591,-74,-37,495
500312,-611,-94,-35,596
500318,-664,-103,-60,512
500324,-804,-123,-118,567
500331,-820,-148,-86,608
500337,-872,-166,-102,480
500344,-892,-182,-126,579
500352,-882,-177,-114,597
500359,-846,-165,-95,595
500365,-783,-136,-87,596
500372,-746,-109,-64,588
500379,-738,-95,-54,578
500385,-738,-85,-47,573
500392,-743,-81,-49,572
500400,-746,-73,-55,570
500406,-770,-81,-62,565
500413,-734,-86,-19,557
500419,-737,-83,-27,552
500425,-798,-77,-37,548
500432,-809,-71,-34,547
500439,-860,-71,-44,508
500445,-897,-87,-57,513
500452,-912,-93,-49,527
500458,-910,-91,-42,501
500464,-888,-67,-41,496
500470,-873,-40,-25,509
500476,-884,-21,-39,487
500483,-941,-12,-73,487
500489,-1013,-37,-104,479
500495,-1083,-54,-110,474
500501,-1182,-82,-133,470
