652299 -436 420 372 6976 
652309 128 32 -104 6936 
652319 644 552 -1604 6978 
652329 -688 792 -512 6903 
652340 -1636 908 -1100 6871 
652350 -2484 480 -2364 6853 
652360 -3568 -84 -2712 6796 
652370 -3828 -792 -2404 6779 
652381 -3160 -1456 -212 6707 
652391 -1608 -1260 1132 6633 
652401 -944 -1012 1132 6607 
652411 -316 -496 228 6554 
652421 -32 -296 -136 6522 
652431 172 -40 -172 6421 
652440 -24 -100 -212 6365 
652450 76 36 -92 6321 
652460 264 20 -460 6236 
652469 276 -12 -364 6125 
652480 28 -72 -40 6075 
652489 -52 -96 0 5997 
652498 44 -44 -40 5851 
652507 -40 -36 -368 5752 
652516 12 -16 -116 5650 
652525 -380 -280 -8 5525 
