273806 -18328 -100 -696 5904 
273815 -17972 220 -728 5900 
273824 -17468 376 -652 5930 
273835 -17300 104 -940 5908 
273844 -17048 552 -596 5937 
273853 -16676 684 -864 5921 
273862 -12728 316 164 5977 
273871 -3364 736 -672 5964 
273883 -112 84 1100 5989 
273892 1024 288 -1856 5968 
273902 56 288 308 5960 
273911 708 224 -880 5980 
273921 -104 200 376 5953 
273930 396 60 -316 5977 
273939 408 104 -96 5930 
273948 -152 -8 -36 5897 
273957 312 84 360 5811 
273966 -1000 -24 732 5801 
273975 740 36 -420 5742 
273984 -728 64 264 5721 
273993 468 52 -128 5641 
274001 -888 20 772 5584 
274011 428 -32 -116 5525 
274020 -532 40 248 5445 
274028 576 44 -476 5382 
274036 -512 24 484 5314 
274045 236 -40 212 5209 
274054 -476 28 300 5152 
274062 356 60 -344 5095 
274070 -160 128 -24 4959 
274078 220 64 -100 4907 
274086 -412 152 536 4773 
274095 -716 -472 -900 4694 
274103 -18568 -12176 14588 4582 
274111 -11816 -1796 -2532 4447 
274118 10224 -216 -19896 4356 
274126 -32768 15840 -14616 4258 
