starting,,,,,
530109,592,204,17108,902,
530129,700,168,17044,896,
530135,652,276,17248,890,
767307,-16248,-516,-1304,5687,
530139,832,324,17172,887,
530143,728,240,17248,885,
767316,-16204,-484,-1628,5645,
530147,636,324,17264,884,
530151,800,248,17232,888,
767326,-16236,-376,-1540,5647,
530155,624,240,17224,888,
530159,628,140,17304,888,
767335,-16212,-424,-1648,5623,
530163,540,308,17212,886,
530168,568,324,17164,890,
767344,-16176,-464,-1628,5622,
530172,676,324,17156,885,
530179,644,336,17104,903,
767353,-16132,-548,-1624,5647,
530183,632,240,17080,884,
530187,592,224,17204,885,
767363,-16176,-548,-1572,5627,
530191,788,320,17112,883,
530197,752,332,17068,897,
767371,-16052,-528,-1608,5628,
530201,528,200,17056,886,
530205,720,288,17196,888,
767380,-16072,-520,-1684,5628,
530209,764,292,17176,888,
530213,560,204,17292,888,
767389,-16032,-356,-1536,5629,
530217,808,316,17096,884,
530224,708,296,17344,896,
767398,-16048,-324,-1596,5651,
530228,580,256,17056,887,
530233,652,268,17260,890,
767408,-16156,-312,-1440,5628,
530237,660,252,17180,884,
530243,688,364,17180,903,
767417,-16244,-392,-1420,5629,
530247,672,184,17076,887,
530251,588,248,17064,886,
767426,-16068,-448,-1504,5629,
530255,680,312,17164,888,
530259,764,344,17296,888,
767435,-16188,-580,-1488,5622,
530268,584,204,17244,888,
530273,592,260,17088,889,
767444,-16148,-512,-1640,5622,
530277,600,320,17084,884,
530281,632,292,17100,882,
767454,-16168,-568,-1656,5622,
530285,568,288,17140,884,
530289,664,336,17148,888,
767463,-16064,-588,-1700,5622,
530293,552,284,17124,888,
530297,624,280,17132,887,
767472,-16172,-492,-1900,5621,
530301,760,296,17192,883,
530307,720,252,17008,890,
767481,-16224,-420,-1864,5648,
530311,636,192,17140,884,
530315,552,204,17100,883,
767491,-16008,-368,-1912,5623,
530319,688,324,17264,886,
530325,652,232,17152,896,
767500,-15904,-552,-2000,5624,
530329,648,184,17164,886,
530333,724,300,17272,888,
767509,-16052,-628,-1976,5624,
530337,676,256,17212,889,
530343,536,200,17200,897,
767518,-15968,-668,-1996,5649,
530348,772,296,17120,888,
530352,732,120,17176,888,
767527,-15924,-452,-1976,5623,
530356,472,240,17100,885,
530361,608,400,17152,893,
530365,640,388,17228,884,
767537,-15780,-380,-2084,5624,
530372,664,260,17132,896,
530376,624,128,17124,883,
767551,-15976,-592,-2060,5689,
530381,624,260,17168,887,
530385,688,172,17168,887,
767560,-15928,-708,-2000,5601,
530390,660,160,17220,881,
530394,604,224,17168,882,
767569,-15856,-692,-1972,5602,
530402,676,260,17264,888,
530406,768,308,17184,887,
767579,-15864,-740,-2032,5602,
530410,608,312,17152,886,
530415,704,188,17192,867,
767588,-15708,-700,-2176,5624,
530419,676,344,17112,884,
530423,532,252,17120,886,
767597,-15808,-596,-2192,5608,
530427,672,316,17184,888,
530432,656,300,17128,888,
767606,-15816,-520,-2480,5657,
530436,660,328,17076,888,
530440,780,312,17160,887,
767614,-15828,-544,-2172,5607,
530444,612,284,17176,893,
530449,636,212,17240,883,
530485,668,176,17216,902,
530490,712,276,17196,887,
767662,-16000,-664,-1940,5639,
530494,776,324,17220,887,
530498,572,200,17248,885,
767671,-16024,-564,-2008,5625,
530502,656,224,17116,888,
530506,520,260,17240,888,
767680,-16128,-492,-2004,5649,
530510,744,228,17124,888,
530514,644,292,17140,885,
767689,-16032,-456,-2084,5623,
530520,704,292,17128,893,
530524,680,312,17220,884,
767698,-16092,-540,-1828,5601,
530528,772,216,17128,886,
530532,904,280,17272,886,
530536,568,320,17056,887,
530569,784,280,17188,897,
530573,668,324,17220,886,
767745,-16104,-516,-2036,5667,
530577,640,240,17008,887,
530581,696,204,17112,888,
767754,-15976,-420,-1872,5605,
530585,672,344,17196,888,
530589,700,204,17156,885,
767763,-15940,-552,-1864,5621,
530594,696,332,17160,890,
530598,668,304,17108,886,
767772,-15952,-532,-1920,5599,
530603,572,324,17288,884,
530607,664,208,17036,882,
767781,-15924,-592,-1796,5647,
530611,548,256,17164,887,
530617,688,328,17336,896,
767791,-16052,-544,-1784,5620,
530621,704,352,17128,888,
530625,668,276,17044,888,
767800,-15888,-440,-1688,5647,
530629,660,352,17148,888,
530633,740,304,17140,883,
767809,-15872,-244,-1888,5621,
530642,636,192,17328,888,
530647,572,272,17172,886,
767818,-16024,-396,-1972,5598,
530651,704,172,17104,888,
530655,636,168,17148,864,
767827,-15972,-460,-1768,5620,
530659,636,252,17140,887,
530663,672,352,17148,888,
767837,-15944,-476,-1796,5597,
530668,780,156,17056,891,
530672,636,332,17124,883,
767846,-15964,-592,-1664,5646,
530676,760,280,17116,886,
530680,720,312,17196,884,
767855,-16120,-508,-1624,5626,
530684,700,216,17172,888,
530689,656,224,17088,888,
530725,756,296,17044,896,
530729,696,104,17044,888,
767901,-15992,-340,-1868,5657,
530734,584,248,17196,888,
530738,696,252,17128,884,
767910,-15844,-312,-1912,5595,
530743,732,248,17196,892,
530747,620,240,17024,885,
767920,-16000,-364,-2080,5593,
530751,676,260,17300,884,
530755,620,248,17196,884,
767929,-15924,-368,-1936,5642,
530759,600,212,17104,888,
530763,608,252,17140,888,
767938,-16080,-496,-1892,5593,
530767,632,256,17224,888,
530771,684,232,17176,884,
530808,560,296,17208,897,
530812,700,256,17188,883,
767984,-16136,-648,-2104,5637,
530818,684,180,17172,891,
530822,688,192,17164,883,
767993,-16236,-708,-2172,5590,
530826,796,292,17072,883,
530830,636,176,17180,889,
768003,-16124,-736,-2028,5590,
530834,772,396,17212,888,
530838,656,372,17136,888,
768012,-16056,-624,-2220,5590,
530842,696,204,17212,888,
530846,696,392,17064,892,
768021,-16028,-512,-2000,5639,
530851,808,312,17192,887,
530855,604,300,17224,887,
530892,812,260,17160,896,
530896,612,160,17224,883,
768067,-15956,-572,-2008,5635,
530900,560,240,17096,883,
530905,656,196,17192,888,
768076,-15972,-480,-2120,5619,
530909,660,264,17040,887,
530913,724,356,17180,888,
768086,-16096,-484,-2188,5644,
530917,688,188,17232,886,
530922,648,336,17148,889,
768095,-16148,-568,-2176,5590,
530926,732,252,17152,883,
530930,620,212,17228,885,
768104,-16292,-516,-1840,5613,
530934,724,272,17192,886,
530938,640,240,17220,888,
530975,708,236,17160,896,
530979,704,364,17184,887,
768151,-17552,248,-2100,5683,
530983,612,236,17232,887,
530988,620,240,17116,887,
768159,-18056,404,-1852,5655,
530992,544,188,17216,862,
530997,556,220,17116,892,
768168,-18420,176,-1504,5657,
531001,536,124,17304,884,
531005,544,232,17180,882,
768178,-18704,124,-1772,5634,
531009,836,344,17096,886,
531013,648,212,17132,887,
768187,-19120,112,-2068,5637,
531017,664,228,17124,888,
531021,580,196,17204,888,
768196,-19484,720,-3024,5641,
531025,764,312,17176,882,
531032,636,252,17168,872,
768205,-19868,1720,-4328,5665,
531036,708,204,17116,884,
531041,716,168,17116,891,
768215,-20544,2088,-4968,5646,
531049,616,384,17112,885,
531053,648,304,17104,884,
768224,-21164,2252,-5232,5655,
531057,820,352,17164,887,
531061,676,340,17244,888,
768233,-21736,2556,-5556,5642,
531065,656,224,16992,887,
531069,512,248,17152,883,
768242,-22536,2520,-5184,5697,
531075,688,212,17008,868,
531079,764,268,17100,883,
768251,-22968,2504,-4428,5694,
531083,660,220,17212,886,
531087,648,156,17192,883,
768261,-23732,2384,-3572,5729,
531091,520,220,17116,887,
531097,608,268,17176,896,
768270,-23824,2276,-2444,5748,
531101,664,216,17144,888,
531105,708,336,17168,887,
768280,-24092,2632,-1728,5745,
531109,640,320,17004,888,
531116,748,332,17164,896,
768289,-24004,2844,-2132,5784,
531120,580,208,17144,888,
531124,564,268,17224,883,
768299,-23580,3284,-3264,5784,
531129,628,188,17292,889,
531134,548,172,17320,896,
768308,-22640,2892,-4124,5812,
531139,852,272,17080,891,
531143,704,272,17052,884,
768317,-21872,2184,-4496,5841,
531151,724,260,17184,863,
531155,744,252,17280,887,
